lbp_0,lbp_1,lbp_2,lbp_3,lbp_4,lbp_5,lbp_6,lbp_7,lbp_8,hu_moment0,hu_moment1,hu_moment2,hu_moment3,hu_moment4,hu_moment5,hu_moment6,mean_edge,std_dev_edge
2.8e-05,0.000292,0.0,0.003084,0.0,0.006264,0.0,0.002896,0.987436,0.0006723336576662278,5.352950031827684e-09,3.1927897430523356e-12,2.731528284923869e-12,-7.0294613098068e-24,-1.9577928197260648e-16,3.95697679966523e-24,20.265107471830788,135.19241923700878
0.000112,0.001324,0.0,0.012728,0.0,0.023856,0.0,0.01306,0.94892,0.0007275622086042647,9.323276171381614e-10,1.163418554075593e-11,3.4763938510843e-13,6.7492492426026545e-25,-2.6805296093024022e-18,1.8239247136078855e-25,81.93513159926762,260.1706351797041
2e-05,0.00032,0.0,0.003328,0.0,0.005504,0.0,0.00312,0.987708,0.0006494810737733132,9.449890418396973e-09,6.540630459639632e-12,3.4636803322160443e-14,-7.089068532739379e-28,2.0964870585380334e-18,1.6470797466877008e-26,21.58964749936058,139.24396116476055
4.4e-05,0.000316,0.0,0.003772,0.0,0.017808,0.0,0.003784,0.974276,0.001697888249012628,1.6457543448954674e-09,1.0892054009621201e-13,1.6275665235187797e-11,1.882160985840856e-23,2.0814097592504124e-16,-1.073986865176695e-23,26.97835810171236,155.59073042484172
0.00022,0.00168,0.0,0.010996,0.0,0.022964,0.0,0.01,0.95414,0.0013178187002413333,2.798937329591787e-09,2.871000709641623e-11,2.2686390752035184e-10,4.775364801354328e-21,-8.755663496237593e-15,1.767528172865321e-20,73.16688003619598,246.44450991200617
0.00016,0.001512,0.0,0.01066,0.0,0.022776,0.0,0.009884,0.955008,0.0012646664189911601,1.577503087825168e-08,7.4081955716773e-11,1.183089220657801e-10,-4.019246777409254e-21,-1.0031901725150152e-16,1.0321005733305774e-20,70.3801346976984,242.22794933684642
5.6e-05,0.00052,0.0,0.004968,0.0,0.008824,0.0,0.004864,0.980768,0.0006626737468849874,6.697137653090246e-09,1.6207349658217446e-11,1.015976252288603e-12,1.973456990609018e-24,-2.937455434984603e-17,3.619681159791919e-24,31.46844752206756,166.53570311062694
0.000104,0.00076,0.0,0.006896,0.0,0.018396,0.0,0.00726,0.966584,0.001066671362213484,4.963075952346707e-09,9.240863878409303e-11,6.385155360541349e-11,4.324368755905692e-21,-2.7008400349781615e-15,2.314310326573857e-21,50.666326422561816,209.63073669393626
4.4e-05,0.000392,0.0,0.005112,0.0,0.015044,0.0,0.004812,0.974596,0.001326702691856585,2.5250015853972036e-08,4.414183412757902e-11,1.1139400377619553e-10,3.346424902799876e-21,9.078957813745277e-15,7.058068293283677e-21,34.632468818532026,175.84328620545455
8.8e-05,0.001392,0.0,0.01806,0.0,0.034336,0.0,0.018416,0.927708,0.0009233252602528603,1.3706213906887765e-08,7.553055286582749e-11,2.0890056259910894e-11,-2.2313107914592767e-23,-4.90384997856988e-16,8.294948182534881e-22,113.84786490813713,302.36930673575085
