                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.92444,                 2.6427,                 1.3641,                0.59188,                 0.3009,                0.27162,                0.16471,                 1.2184,                 3.1347,                 1.6586,              0.0004072,              0.0004072,              0.0004072
                      2,                0.99313,                  1.894,                 1.3773,                0.57013,                0.26948,                 0.2611,                 0.1568,                 1.2645,                 2.5497,                 1.7359,             0.00081571,             0.00081571,             0.00081571
                      3,                0.99594,                 1.7465,                 1.3735,                0.58735,                0.35361,                0.34443,                 0.1787,                 1.5766,                 2.4327,                 2.0583,               0.001216,               0.001216,               0.001216
                      4,                 1.0197,                 1.7085,                 1.4057,                0.65442,                0.31155,                0.36398,                0.22406,                 1.3181,                 2.4257,                 1.7571,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.0009,                 1.6459,                 1.4021,                0.60261,                 0.3316,                0.31551,                0.17644,                 1.4446,                 2.3126,                 2.0252,              0.0012005,              0.0012005,              0.0012005
                      6,                 0.9796,                 1.5131,                 1.3534,                0.70364,                0.34429,                0.39015,                0.25672,                 1.2493,                 1.9632,                 1.7016,              0.0011881,              0.0011881,              0.0011881
                      7,                0.93828,                 1.4727,                 1.3445,                0.64453,                0.42887,                0.42006,                0.23644,                 1.3454,                 1.9659,                 1.7512,              0.0011757,              0.0011757,              0.0011757
                      8,                0.89084,                 1.3939,                   1.32,                0.72491,                 0.4452,                0.47123,                0.30145,                 1.0458,                 1.6101,                 1.5057,              0.0011634,              0.0011634,              0.0011634
                      9,                 0.9121,                 1.3879,                 1.3357,                0.76151,                0.46202,                 0.5069,                0.32929,                 1.1804,                 1.4854,                 1.6024,               0.001151,               0.001151,               0.001151
                     10,                 0.8763,                 1.2968,                 1.3179,                0.71528,                0.46882,                0.50538,                0.32594,                 1.1781,                 1.5539,                 1.6527,              0.0011386,              0.0011386,              0.0011386
                     11,                0.86145,                 1.2347,                 1.2724,                0.71057,                0.46825,                 0.4775,                0.29661,                 1.1435,                 1.5749,                 1.5555,              0.0011263,              0.0011263,              0.0011263
